,3449,4132,4130,4131,3447,4129,3451,3448,3450,3452
2022-01-13,2.0,4.5,2.5,1.0,6.0,2.0,4.0,2.0,4.0,9.5
2022-01-14,0.01,0.01,0.01,0.01,2.0,0.01,0.01,0.01,0.01,0.01
2022-01-15,2.3,2.5,4.5,2.5,0.01,4.5,2.3,0.01,2.3,0.01
2022-01-16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2022-01-17,2.0,2.5,5.5,2.0,4.0,2.5,2.3,0.01,4.3,6.5
2022-01-18,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2022-01-19,0.01,2.0,0.01,0.01,0.01,2.0,2.0,0.01,2.0,0.01
2022-01-20,2.0,3.0,2.5,4.0,2.0,4.5,4.3,2.0,4.0,10.0
2022-01-21,0.01,4.5,0.01,0.01,4.0,0.01,4.0,0.01,0.01,3.0
2022-01-22,0.01,6.5,3.5,5.5,6.5,3.5,8.0,0.01,2.0,12.5
2022-01-23,2.0,5.0,6.0,7.5,6.0,4.0,4.3,0.01,4.0,6.5
2022-01-24,0.01,0.01,2.5,0.01,0.01,2.5,0.01,2.0,0.01,0.01
2022-01-25,4.0,13.0,5.0,11.0,0.01,9.0,6.0,6.0,4.0,15.5
2022-01-26,0.01,5.75,0.01,4.0,0.01,0.01,2.0,0.01,0.01,3.0
2022-01-27,2.25,5.5,2.0,3.5,0.01,0.01,2.25,2.25,2.25,3.0
2022-01-28,0.01,0.01,0.01,0.01,0.01,2.0,0.01,0.01,0.01,0.01
2022-01-29,4.5,8.0,6.0,4.0,0.01,4.0,7.05,0.01,7.05,6.5
2022-01-30,11.25,14.5,12.5,13.0,0.01,12.5,9.3,4.5,7.05,13.0
2022-01-31,2.25,9.0,2.0,5.0,0.01,0.01,6.75,2.25,4.5,3.0
2022-02-01,2.25,0.01,0.01,2.0,0.01,0.01,0.01,0.01,2.25,0.01
2022-02-02,0.01,2.5,0.01,2.0,0.01,0.01,2.25,0.01,2.25,3.5
2022-02-03,0.01,2.5,2.5,2.5,0.01,0.01,2.25,0.01,2.55,3.5
2022-02-04,0.01,5.0,0.01,6.5,0.01,2.0,4.5,0.01,4.5,3.0
2022-02-05,2.25,6.5,0.01,2.5,0.01,2.5,4.5,2.25,4.5,6.5
2022-02-06,2.25,6.0,0.01,8.5,0.01,0.01,4.5,4.5,2.25,6.0
2022-02-07,4.5,10.0,10.0,4.0,0.01,4.0,4.5,2.25,4.5,12.0
2022-02-08,2.25,4.0,2.0,4.0,0.01,4.0,4.5,2.25,4.5,6.0
2022-02-09,2.25,3.0,0.01,5.0,0.01,3.0,4.5,0.01,2.25,0.01
2022-02-10,0.01,4.0,0.01,0.01,0.01,0.01,2.25,0.01,0.01,0.01
2022-02-11,2.25,4.0,5.0,4.0,0.01,10.5,2.25,2.25,4.5,6.5
2022-02-12,2.28,4.5,5.0,7.5,0.01,2.5,4.5,0.01,2.25,2.35
