,4617,4621,4622,4619,4620,4618,3911
2022-02-03,5.0,3.85,2.2,0.01,2.63,2.25,0.01
2022-02-04,7.75,7.15,2.2,5.69,5.69,13.0,1.75
2022-02-05,14.5,15.4,8.25,7.89,4.82,14.25,4.25
2022-02-06,6.75,4.4,1.65,5.25,3.5,6.75,2.0
2022-02-07,6.75,0.55,1.65,1.75,4.38,6.75,0.01
2022-02-08,7.0,10.45,2.2,3.94,2.19,9.5,1.75
2022-02-09,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2022-02-10,2.25,7.15,0.01,0.01,0.01,4.5,0.01
2022-02-11,2.5,3.85,0.01,5.26,7.01,7.5,0.01
2022-02-12,7.0,3.33,4.95,0.01,0.01,6.7,0.01
2022-02-13,4.5,2.2,0.01,5.69,5.69,4.5,1.75
2022-02-14,9.0,3.85,0.01,1.75,4.82,6.75,0.01
2022-02-15,0.01,3.85,0.01,0.01,0.01,2.5,0.01
2022-02-16,7.5,8.25,5.5,0.01,0.01,7.0,0.01
2022-02-17,4.5,6.05,1.65,0.01,0.01,5.0,0.01
2022-02-18,7.0,7.15,4.95,7.01,3.5,11.5,5.25
2022-02-19,2.25,2.2,3.85,1.75,0.01,2.25,0.01
2022-02-20,7.5,9.35,2.2,1.75,3.07,9.75,0.01
2022-02-21,4.75,0.01,0.01,2.19,4.38,2.5,0.01
2022-02-22,4.5,3.85,0.01,6.14,2.63,7.25,2.0
2022-02-23,7.5,3.85,4.2,0.01,4.38,4.75,4.25
2022-02-24,0.01,2.2,0.01,0.01,0.01,2.25,0.01
2022-02-25,2.25,1.65,2.2,2.63,0.01,2.25,1.75
2022-02-26,5.25,1.65,2.75,1.75,0.01,2.25,0.01
2022-02-27,9.0,15.4,5.5,3.5,0.01,9.0,5.5
2022-02-28,4.5,2.75,2.2,1.75,3.07,4.5,1.75
2022-03-01,3.45,4.95,5.5,4.38,0.01,4.5,1.75
2022-03-02,0.01,1.65,3.3,0.01,0.01,5.0,1.75
2022-03-03,0.01,5.5,0.01,0.01,0.01,0.01,3.75
2022-03-04,2.25,3.85,0.01,3.5,1.75,0.01,3.75
2022-03-05,2.25,2.2,0.01,0.01,0.01,0.01,0.01
2022-03-06,11.75,17.05,3.85,8.32,4.82,15.5,4.0
2022-03-07,6.75,0.01,2.75,1.75,3.94,9.5,0.01
2022-03-08,4.5,7.15,4.4,0.01,0.01,6.75,0.01
2022-03-09,2.5,0.01,0.01,0.01,2.63,0.01,0.01
2022-03-10,9.5,17.05,12.1,10.97,11.85,11.5,5.75
2022-03-11,4.75,6.6,1.65,3.94,1.75,7.0,1.75
2022-03-12,12.75,8.25,9.35,3.5,3.5,7.0,1.75
2022-03-13,4.5,3.85,4.4,0.01,2.63,9.5,0.01
2022-03-14,6.75,2.2,2.75,2.63,4.38,6.75,1.75
2022-03-15,4.75,2.2,0.01,0.01,0.28,2.75,0.01
2022-03-16,0.01,1.65,1.1,1.75,1.75,0.01,0.01
2022-03-17,2.25,0.01,2.75,0.01,0.01,2.5,0.01
2022-03-18,7.0,4.95,8.25,0.01,2.63,10.0,3.5
2022-03-19,10.25,14.85,0.01,4.82,3.07,7.5,1.75
2022-03-20,4.75,6.05,3.85,2.19,4.82,4.75,3.75
2022-03-21,4.5,1.1,1.65,1.75,3.07,4.5,2.25
2022-03-22,9.5,7.15,4.4,1.75,1.75,7.5,0.01
2022-03-23,2.25,1.1,0.01,1.75,2.63,2.25,2.0
2022-03-24,2.25,6.05,7.15,0.01,1.75,4.5,3.75
2022-03-25,7.5,3.85,3.85,2.19,0.01,5.25,0.01
2022-03-26,2.25,5.5,2.2,0.01,0.01,2.25,3.75
2022-03-27,10.25,12.65,6.05,2.19,0.01,12.0,2.0
2022-03-28,12.0,8.25,7.7,2.63,3.94,11.5,1.75
2022-03-29,2.25,6.05,2.2,3.07,0.01,7.5,0.01
2022-03-30,4.75,6.05,4.4,0.01,1.75,7.25,0.01
2022-03-31,11.75,12.1,10.45,0.01,2.63,12.0,1.75
