,3869,3875,4924,4923,4214,4216,4217,3874,3881,3880,3870,3871,4213,3872,3873,3878,3877,3876
2021-12-20,4.25,2.25,4.75,7.0,0.01,1.75,2.5,2.25,6.5,0.01,0.01,4.0,2.0,6.25,4.25,4.25,4.25,2.25
2021-12-21,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2021-12-22,10.0,2.0,6.75,12.25,1.75,4.0,1.75,0.01,1.75,4.5,10.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0
2021-12-23,8.25,4.0,4.5,18.25,1.75,1.75,3.5,4.0,5.5,3.5,0.01,6.0,8.0,2.0,4.0,2.0,2.0,4.0
2021-12-24,4.25,0.01,5.0,10.75,0.01,0.01,1.75,6.75,0.01,0.01,2.75,6.5,6.5,4.5,4.5,2.0,2.25,2.25
2021-12-25,0.01,0.01,3.75,11.5,0.01,0.01,0.01,2.0,1.75,0.01,5.0,6.0,4.0,4.0,4.0,4.0,4.0,2.0
2021-12-26,8.25,2.0,13.25,16.0,3.5,3.5,5.25,2.0,1.75,3.5,8.0,8.25,6.25,4.0,2.0,2.0,4.0,4.0
2021-12-27,8.0,4.0,3.0,7.75,5.5,4.0,5.25,2.0,3.5,1.75,2.5,4.0,2.0,2.0,2.0,0.01,4.0,2.0
2021-12-28,8.25,2.0,6.5,16.25,1.75,3.5,0.01,2.0,0.01,0.01,7.75,0.01,4.0,2.0,4.0,0.01,0.01,0.01
2021-12-29,4.25,2.0,0.01,10.25,5.25,1.75,3.5,4.0,0.01,0.01,0.01,4.25,4.0,0.01,0.01,0.01,2.0,2.0
2021-12-30,6.5,4.0,5.75,13.25,1.75,7.0,3.5,6.0,1.75,0.01,5.25,2.0,2.0,4.0,2.25,0.01,2.0,6.0
2021-12-31,10.0,4.0,10.5,13.25,1.75,6.0,4.0,6.25,4.25,0.01,5.25,4.0,6.25,4.25,5.75,0.01,4.0,2.0
2022-01-01,0.01,0.01,0.5,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2022-01-02,4.25,4.0,2.25,6.0,4.0,7.5,5.25,4.0,1.75,0.01,7.5,2.25,2.0,2.0,2.0,0.01,4.0,0.01
2022-01-03,8.25,2.0,14.25,13.75,2.0,3.75,5.5,4.0,1.75,0.01,5.0,6.0,6.0,4.0,2.0,0.01,0.01,2.0
2022-01-04,4.0,4.25,5.75,9.5,0.01,3.5,0.01,2.25,0.01,0.01,8.0,6.25,0.01,2.0,4.25,0.01,4.25,0.01
2022-01-05,4.25,2.0,2.5,4.75,1.75,3.5,2.0,2.0,5.5,3.75,2.75,2.0,4.0,4.0,4.0,2.5,2.0,0.01
2022-01-06,2.25,0.01,4.5,1.0,0.01,1.75,0.01,2.25,0.01,0.01,2.75,2.25,0.01,2.0,4.25,0.01,2.25,0.01
2022-01-07,8.0,8.5,14.75,17.75,4.0,5.75,5.0,8.5,4.25,6.5,18.25,8.5,10.5,10.5,8.5,6.0,6.25,2.25
2022-01-08,6.0,4.25,7.0,10.25,5.25,7.25,7.0,4.25,5.25,5.5,10.0,4.25,6.25,4.25,4.25,2.0,2.0,4.25
2022-01-09,6.25,0.01,11.25,8.0,5.25,0.01,0.01,0.01,0.01,0.01,5.0,4.5,4.5,2.25,4.25,0.01,0.01,0.01
2022-01-10,8.0,6.0,9.75,15.75,0.01,4.25,5.25,2.0,3.5,0.01,12.5,4.0,8.0,10.0,4.0,2.0,2.0,2.0
