,6966,5329,5230,5231,5232,5233,5234,5235,6624,6626,6629
2022-01-09,0.01,5.25,7.0,3.5,3.5,1.75,1.75,0.01,0.01,0.01,0.01
2022-01-10,0.01,3.5,1.75,1.75,5.25,7.5,7.5,3.5,0.01,0.01,0.01
2022-01-11,0.01,5.5,1.75,3.5,2.0,0.01,1.75,1.75,0.01,0.01,0.01
2022-01-12,0.01,6.0,3.5,0.01,3.5,7.0,1.75,1.75,0.01,0.01,0.01
2022-01-13,0.01,7.0,7.0,1.75,0.01,3.5,7.0,3.5,0.01,0.01,0.01
2022-01-14,0.01,8.0,7.0,7.25,8.5,7.0,8.75,10.25,0.01,0.01,0.01
2022-01-15,0.01,1.75,1.75,0.01,1.75,0.01,5.25,5.75,0.01,0.01,0.01
2022-01-16,0.01,9.75,5.75,1.75,3.5,6.0,5.25,5.25,0.01,0.01,0.01
2022-01-17,0.01,1.75,3.5,1.75,1.75,1.75,3.5,1.75,0.01,0.01,0.01
2022-01-18,0.01,3.5,3.5,5.25,7.25,7.25,3.75,1.75,0.01,0.01,0.01
2022-01-19,0.01,5.25,3.5,3.5,1.75,1.75,3.5,1.75,0.01,0.01,0.01
2022-01-20,0.01,5.25,3.5,1.75,1.75,3.5,5.25,1.75,0.01,0.01,0.01
2022-01-21,0.01,5.25,1.75,4.0,1.75,7.75,5.75,1.75,0.01,0.01,0.01
2022-01-22,0.01,5.25,5.5,4.5,5.25,5.5,5.25,3.75,0.01,0.01,0.01
2022-01-23,0.01,12.25,10.0,10.11,3.5,2.0,4.0,4.0,0.01,0.01,0.01
2022-01-24,0.01,5.25,3.5,3.5,3.5,3.5,7.25,7.25,0.01,0.01,0.01
2022-01-25,0.01,5.25,1.75,1.75,1.75,3.5,5.75,4.25,0.01,0.01,0.01
2022-01-26,0.01,7.0,5.25,3.5,1.75,5.25,4.0,5.25,0.01,0.01,0.01
2022-01-27,0.01,8.75,7.0,0.01,0.01,3.5,5.25,3.5,0.01,0.01,0.01
2022-01-28,0.01,7.0,5.25,3.75,3.5,3.5,1.75,5.75,0.01,0.01,0.01
2022-01-29,0.01,3.5,7.0,7.0,0.01,3.25,3.5,5.25,0.01,0.01,0.01
2022-01-30,0.01,7.25,8.75,8.75,5.25,3.5,6.25,3.5,0.01,0.01,0.01
2022-01-31,0.01,8.75,5.25,1.75,1.75,5.5,9.25,5.25,0.01,0.01,0.01
2022-02-01,0.01,3.5,4.5,1.75,3.5,3.5,5.25,3.5,0.01,0.01,0.01
2022-02-02,0.01,3.5,3.5,1.75,0.01,0.01,1.75,1.75,0.01,0.01,0.01
2022-02-03,0.01,9.25,12.25,1.75,1.75,5.5,5.5,5.5,0.01,0.01,0.01
2022-02-04,0.01,1.75,0.01,0.01,3.5,5.25,3.75,7.0,0.01,0.01,0.01
2022-02-05,0.01,9.25,5.75,5.75,2.0,5.25,7.75,8.75,0.01,0.01,0.01
2022-02-06,0.01,3.5,3.75,3.75,1.75,1.75,3.5,3.5,0.01,0.01,0.01
2022-02-07,0.01,5.25,3.5,1.75,3.5,1.75,1.75,1.75,0.01,0.01,0.01
2022-02-08,0.01,1.75,3.5,2.25,3.5,1.75,1.75,5.25,0.01,0.01,0.01
2022-02-09,0.01,8.5,6.0,1.75,3.5,1.75,6.0,6.0,0.01,0.01,0.01
2022-02-10,0.01,5.25,1.75,0.01,3.5,3.5,3.5,1.75,0.01,0.01,0.01
2022-02-11,0.01,7.0,3.5,1.75,5.5,1.75,3.5,2.75,0.01,0.01,0.01
