,4580,3736,3739,3735,3747,3746
2022-02-26,8.96,6.36,7.96,5.0,9.3,4.5
2022-02-27,6.72,1.99,5.97,0.01,2.25,0.01
2022-02-28,0.01,0.01,0.01,0.01,0.01,0.01
2022-03-01,2.24,3.98,0.01,2.0,2.25,2.25
2022-03-02,0.01,0.01,0.01,4.0,0.01,4.5
2022-03-03,4.48,0.01,3.39,4.0,0.01,7.05
2022-03-04,2.24,0.01,5.54,4.0,4.5,4.8
2022-03-05,2.24,5.54,3.16,2.0,4.5,2.25
2022-03-06,11.2,5.97,13.93,4.0,9.0,6.75
2022-03-07,0.01,1.99,0.01,0.01,2.25,0.01
2022-03-08,2.24,1.99,1.99,2.0,2.25,2.25
2022-03-09,0.01,0.01,0.01,4.0,2.25,4.5
2022-03-10,8.96,3.94,8.74,5.93,4.5,4.5
2022-03-11,4.48,4.37,2.38,2.0,6.75,6.75
2022-03-12,2.24,0.01,3.98,2.0,0.01,2.25
2022-03-13,6.72,3.98,5.97,2.0,6.75,0.01
2022-03-14,0.01,0.01,1.99,2.0,2.25,2.25
2022-03-15,2.24,1.99,1.99,2.0,4.5,2.25
2022-03-16,2.24,1.99,3.98,0.01,2.25,0.01
2022-03-17,8.96,3.98,9.09,4.5,6.75,6.75
2022-03-18,6.72,5.15,2.77,2.5,6.75,2.25
2022-03-19,2.24,4.37,4.37,4.0,4.5,4.5
2022-03-20,4.48,1.99,1.99,8.0,4.5,4.5
2022-03-21,2.24,0.01,2.38,6.0,4.5,2.25
2022-03-22,4.48,1.99,0.01,4.0,4.5,0.01
2022-03-23,4.48,1.99,1.99,0.01,0.01,0.01
2022-03-24,2.24,0.01,6.71,2.0,4.5,2.25
2022-03-25,4.48,1.99,4.37,9.0,4.8,6.75
2022-03-26,2.24,4.76,2.77,4.5,7.05,4.5
2022-03-27,4.48,5.97,1.99,0.01,7.05,0.01
2022-03-28,6.72,0.01,7.96,4.0,2.25,2.25
2022-03-29,2.24,0.01,3.98,4.0,2.25,2.25
2022-03-30,0.01,0.01,0.01,0.01,0.01,0.01
2022-03-31,6.72,4.37,8.35,2.0,6.75,2.25
2022-04-01,3.98,0.01,4.76,6.0,4.5,4.5
2022-04-02,17.92,0.01,20.29,4.0,9.0,2.25
2022-04-03,4.48,1.99,5.97,2.0,4.5,4.5
2022-04-04,4.48,0.01,3.98,4.0,4.5,2.25
2022-04-05,0.01,0.01,0.01,0.01,0.01,0.01
2022-04-06,4.48,2.38,1.99,2.0,4.5,2.25
2022-04-07,2.24,2.77,2.77,4.0,4.5,2.25
2022-04-08,0.01,0.01,1.99,10.5,9.3,7.35
2022-04-09,4.48,1.99,3.98,2.0,2.25,4.5
2022-04-10,6.72,1.99,10.34,8.0,9.0,4.5
2022-04-11,2.24,0.01,3.98,4.0,4.5,2.25
2022-04-12,0.01,0.01,0.01,4.0,2.25,4.5
2022-04-13,6.72,4.76,6.36,4.5,4.5,4.5
2022-04-14,4.48,0.01,5.15,5.5,2.55,4.8
2022-04-15,4.48,3.98,5.15,6.0,4.8,6.75
2022-04-16,0.01,0.01,1.99,0.01,2.25,1.81
2022-04-17,2.24,1.99,1.99,0.01,2.25,0.01
2022-04-18,0.01,1.99,1.99,6.0,5.1,7.05
2022-04-19,0.01,0.01,0.01,4.0,2.25,4.8
2022-04-20,4.48,4.37,3.98,4.0,4.5,7.05
2022-04-21,4.48,0.01,2.38,5.5,4.5,2.25
2022-04-22,4.48,4.76,6.75,4.0,2.25,6.75
2022-04-23,0.01,1.99,0.01,0.01,4.5,0.01
2022-04-24,6.72,3.98,6.36,6.0,6.75,6.75
2022-04-25,6.72,5.97,7.96,4.0,6.75,4.5
2022-04-26,0.01,0.01,1.99,4.0,2.25,4.5
2022-04-27,0.01,0.01,0.01,2.0,2.25,1.22
2022-04-28,4.48,1.99,3.98,0.01,2.25,0.01
2022-04-29,0.01,0.01,1.99,6.0,2.25,6.75
2022-04-30,11.2,0.01,9.95,0.01,0.01,0.01
2022-05-01,0.01,0.01,1.99,2.0,2.25,2.25
2022-05-02,2.24,0.01,1.99,4.0,4.5,4.5
2022-05-03,2.24,0.01,3.98,2.0,4.5,4.5
2022-05-04,6.72,2.77,2.77,4.0,4.5,2.25
2022-05-05,11.2,2.38,5.93,6.31,7.05,9.6
2022-05-06,11.2,8.35,7.96,8.5,9.3,9.6
2022-05-07,6.72,3.98,3.98,2.0,2.25,2.25
2022-05-08,0.01,0.01,0.01,2.0,0.01,2.25
2022-05-09,6.72,1.99,5.97,2.0,2.25,4.5
2022-05-10,2.24,0.01,2.77,0.01,0.01,0.01
2022-05-11,2.24,0.01,3.94,14.0,7.05,9.0
2022-05-12,2.24,1.99,1.99,2.0,2.25,2.25
2022-05-13,4.48,0.01,3.98,2.0,0.01,2.25
2022-05-14,8.96,4.76,8.74,6.5,7.05,7.35
2022-05-15,0.01,0.01,0.01,0.01,0.01,0.01
2022-05-16,4.48,1.99,3.98,2.0,2.25,2.25
2022-05-17,4.48,3.98,4.76,2.0,6.75,2.25
2022-05-18,0.01,0.01,0.01,2.0,0.01,0.01
2022-05-19,4.48,11.12,5.3,0.01,7.05,9.3
2022-05-20,2.24,1.99,3.98,2.0,4.5,4.5
2022-05-21,0.01,0.01,0.01,0.01,0.01,0.01
2022-05-22,6.72,5.97,5.97,4.0,6.75,4.5
2022-05-23,0.01,0.01,0.01,2.0,2.25,4.5
2022-05-24,2.24,1.99,5.54,2.0,2.25,2.25
2022-05-25,0.01,0.01,1.99,2.0,4.5,4.5
2022-05-26,4.48,3.16,6.75,0.01,2.25,2.25
2022-05-27,4.48,3.69,3.98,4.0,4.8,4.8
2022-05-28,6.72,7.96,7.96,4.0,6.75,4.8
