,4580,3736,3739,3735,3747,3746
2023-02-06,6.72,2.24,5.26,3.75,2.25,7.05
2023-02-07,2.24,0.01,0.01,2.25,2.25,2.25
2023-02-08,0.01,0.01,0.01,2.25,2.25,2.25
2023-02-09,4.48,3.41,4.87,7.75,2.25,2.25
2023-02-10,4.48,4.48,3.41,4.5,4.8,2.25
2023-02-11,2.24,0.01,0.81,0.01,0.01,0.01
2023-02-12,2.24,2.24,2.24,4.5,4.5,2.25
2023-02-13,2.24,5.65,2.24,4.5,4.5,6.75
2023-02-14,2.24,9.35,2.24,2.25,4.8,7.05
2023-02-15,6.72,7.5,7.11,6.5,9.0,4.8
2023-02-16,0.01,3.02,0.01,4.5,0.01,4.5
2023-02-17,13.44,0.01,15.78,4.5,2.25,4.5
2023-02-18,4.48,4.87,2.24,2.25,6.75,0.01
2023-02-19,4.48,2.24,4.48,0.01,2.25,0.01
2023-02-20,4.48,0.01,4.48,0.01,2.25,0.01
2023-02-21,4.48,8.47,4.48,5.5,6.75,6.75
2023-02-22,6.72,7.11,2.24,8.25,6.52,4.5
2023-02-23,0.01,0.01,0.01,0.01,0.01,0.01
2023-02-24,2.24,2.63,0.01,0.01,0.01,0.01
2023-02-25,2.24,2.24,2.24,2.25,2.55,2.55
2023-02-26,4.48,2.24,7.11,0.01,4.5,0.01
2023-02-27,2.24,0.01,2.24,2.25,0.01,2.25
2023-02-28,6.72,8.67,8.67,7.52,11.25,11.25
2023-03-01,2.24,0.01,2.63,0.01,0.01,0.01
2023-03-02,0.01,3.02,0.01,3.25,4.5,2.25
2023-03-03,0.01,0.01,0.01,2.25,4.5,2.25
2023-03-04,2.24,8.96,7.11,9.0,9.3,13.8
2023-03-05,4.48,4.48,4.48,3.25,7.05,0.01
2023-03-06,0.01,0.01,0.01,0.01,0.01,0.01
2023-03-07,6.72,7.89,8.96,2.25,9.0,2.25
2023-03-08,4.48,2.63,4.87,0.01,4.8,0.01
2023-03-09,0.01,2.24,0.01,2.25,2.25,2.25
2023-03-10,6.72,8.96,8.96,2.25,6.75,2.25
2023-03-11,8.96,4.87,7.11,5.0,9.3,4.8
2023-03-12,2.24,2.24,2.24,6.5,2.25,4.8
2023-03-13,6.72,2.24,12.08,2.25,4.5,4.5
2023-03-14,4.48,6.72,2.24,2.25,4.5,2.25
2023-03-15,2.24,0.01,2.24,2.25,0.01,2.25
2023-03-16,4.48,19.48,7.11,4.5,14.1,12.72
2023-03-17,6.72,7.89,4.87,0.01,4.8,0.01
2023-03-18,4.48,2.24,4.48,2.25,2.25,4.5
2023-03-19,4.48,6.72,4.48,2.25,4.5,4.8
2023-03-20,2.24,0.01,2.63,2.25,2.25,2.25
2023-03-21,2.24,5.65,3.12,5.5,2.55,7.05
2023-03-22,2.24,7.5,2.63,5.5,6.75,4.5
2023-03-23,2.24,2.63,2.24,0.01,2.25,0.01
2023-03-24,4.48,0.01,5.26,2.25,0.01,4.5
2023-03-25,4.48,2.24,4.48,4.5,6.75,2.25
2023-03-26,0.01,0.01,0.01,0.01,0.01,0.01
2023-03-27,2.24,2.24,2.24,6.0,4.5,4.5
2023-03-28,2.24,0.01,2.24,0.01,2.25,0.01
2023-03-29,4.48,0.01,6.04,0.01,0.01,0.01
2023-03-30,6.72,7.11,12.76,4.5,9.3,2.25
2023-03-31,6.72,2.63,7.11,4.5,9.3,4.8
2023-04-01,2.24,2.24,2.24,0.01,2.25,0.01
2023-04-02,2.24,5.26,4.48,7.25,9.0,9.0
2023-04-03,2.24,2.24,2.63,4.5,0.01,2.25
2023-04-04,4.48,2.63,10.13,2.25,2.25,2.25
2023-04-05,2.24,4.48,2.24,4.5,2.25,2.25
2023-04-06,6.72,4.48,8.28,2.25,4.8,7.05
2023-04-07,0.01,0.01,4.48,0.01,2.25,2.25
2023-04-08,2.24,2.24,2.24,2.25,2.55,2.25
2023-04-09,6.72,4.87,6.72,6.75,13.8,2.25
2023-04-10,11.2,10.52,8.28,2.25,2.25,2.55
2023-04-11,2.24,2.24,2.24,1.17,2.25,1.53
2023-04-12,6.72,4.48,6.04,2.75,4.8,2.55
2023-04-13,0.01,2.24,0.01,2.25,2.25,2.55
2023-04-14,2.24,3.41,3.41,2.25,2.55,2.25
2023-04-15,4.48,4.48,2.24,4.5,7.05,6.75
2023-04-16,11.2,10.13,8.96,12.25,15.75,6.75
2023-04-17,2.24,0.01,0.01,4.5,0.01,2.25
2023-04-18,2.24,2.24,2.24,0.01,2.55,2.25
2023-04-19,11.2,9.74,7.11,8.0,9.6,2.55
2023-04-20,6.72,2.24,4.48,4.5,4.5,0.01
2023-04-21,0.01,0.01,0.01,0.01,0.01,0.01
2023-04-22,2.24,0.01,0.01,2.25,2.25,2.25
2023-04-23,2.24,4.2,4.87,11.25,2.25,11.25
2023-04-24,6.72,2.24,12.76,13.5,13.5,13.5
2023-04-25,0.01,0.01,0.01,2.25,2.25,0.01
2023-04-26,8.96,0.01,12.76,13.75,11.55,2.55
2023-04-27,4.48,4.48,9.74,8.79,2.55,7.05
2023-04-28,4.48,0.01,4.48,2.25,2.25,4.5
2023-04-29,0.01,0.01,0.01,3.6,2.25,0.01
2023-04-30,6.72,4.48,2.24,6.75,4.5,4.5
2023-05-01,0.01,0.01,0.01,2.25,2.25,2.25
2023-05-02,4.48,2.24,4.48,4.5,4.5,4.5
2023-05-03,4.48,4.48,4.87,13.25,13.5,4.5
2023-05-04,4.48,2.24,2.63,0.01,2.25,0.01
2023-05-05,2.24,0.01,2.63,5.0,4.8,2.55
2023-05-06,0.01,0.01,0.01,0.01,2.25,2.25
2023-05-07,2.24,4.48,0.01,9.0,4.8,4.5
2023-05-08,6.72,2.24,7.5,2.25,4.5,2.25
2023-05-09,0.01,2.24,0.01,2.25,0.01,2.25
2023-05-10,6.72,4.48,4.48,2.25,4.5,0.01
2023-05-11,4.48,4.87,7.11,5.0,9.0,2.25
2023-05-12,0.01,0.01,4.87,5.5,4.5,7.05
2023-05-13,2.24,0.01,2.24,0.01,0.01,0.01
2023-05-14,2.24,3.41,3.41,2.25,2.55,2.55
2023-05-15,0.01,0.01,0.01,0.01,0.01,0.01
