,5957,5958,5959
2022-06-30,0,4.50,4.00
2022-07-01,0,2.25,3.00
2022-07-02,4.50,2.25,6.00
2022-07-03,0,0,0
2022-07-04,0,2.25,2.00
2022-07-05,0,2.25,2.00
2022-07-06,2.25,0,2.00
2022-07-07,0,0,0
2022-07-08,2.25,4.80,6.00
2022-07-09,2.25,0,2.50
2022-07-10,0,2.25,2.00
2022-07-11,2.25,2.25,4.00
2022-07-12,13.50,6.75,15.00
2022-07-13,4.50,2.25,8.00
2022-07-14,0,0,0
2022-07-15,2.25,4.50,6.00
2022-07-16,0,0,0
2022-07-17,2.25,2.25,4.50
2022-07-18,4.80,4.80,12.00
2022-07-19,0,2.25,2.00
2022-07-20,4.50,2.25,3.25
2022-07-21,6.75,4.50,7.50
2022-07-22,0,0,0
2022-07-23,2.25,2.25,4.00
2022-07-24,2.25,2.25,4.00
2022-07-25,2.25,4.80,6.00
2022-07-26,0,0,0
2022-07-27,4.50,7.05,8.00
2022-07-28,0,4.50,4.00
2022-07-29,9.00,6.75,16.00
2022-07-30,0,0,0
2022-07-31,4.50,4.50,8.00
2022-08-01,2.25,0,2.00
2022-08-02,0,0,0
2022-08-03,6.75,2.25,6.50
2022-08-04,0,0,0
2022-08-05,2.25,0,2.00
2022-08-06,0,0,0
2022-08-07,9.30,11.55,18.00
2022-08-08,2.25,2.25,3.50
2022-08-09,0,4.50,4.00
2022-08-10,2.25,0,0
2022-08-11,0,0,0
2022-08-12,4.50,2.25,6.00
2022-08-13,4.50,6.75,6.00
2022-08-14,6.75,2.25,11.00
2022-08-15,2.25,2.25,4.00
2022-08-16,0,0,0
2022-08-17,0,0,0
2022-08-18,2.25,0,2.00
2022-08-19,9.00,9.00,10.00
2022-08-20,2.25,2.25,4.50
2022-08-21,9.00,4.50,10.00
2022-08-22,2.25,4.50,2.50
2022-08-23,0,4.50,4.00
2022-08-24,0,2.25,1.50
2022-08-25,0,0,0
2022-08-26,0,2.25,2.00
2022-08-27,2.25,0,2.00
2022-08-28,4.50,2.25,7.50
2022-08-29,4.50,4.50,7.00
2022-08-30,2.55,2.25,6.00
2022-08-31,4.50,6.50,10.00
2022-09-01,0,0,0
2022-09-02,4.80,2.25,6.00
2022-09-03,2.25,0,2.00
2022-09-04,2.25,0,4.00
2022-09-05,2.25,6.75,7.00
2022-09-06,0,2.25,2.00
2022-09-07,2.25,2.25,3.00
2022-09-08,0,0,0
2022-09-09,4.80,2.25,5.00
2022-09-10,2.25,0,2.00
2022-09-11,6.75,2.55,10.50
2022-09-12,4.50,4.50,6.50
2022-09-13,2.25,0,2.00
2022-09-14,0,0,0
2022-09-15,2.25,0,2.00
2022-09-16,4.50,4.50,5.00
2022-09-17,4.80,2.55,9.50
2022-09-18,4.50,9.30,8.00
2022-09-19,4.50,4.50,6.00
2022-09-20,0,0,0
2022-09-21,2.25,0,2.00
2022-09-22,0,0,0
2022-09-23,4.50,7.05,8.00
2022-09-24,2.25,0,2.00
2022-09-25,7.05,9.00,18.50
2022-09-26,4.50,6.75,8.75
2022-09-27,0,2.25,2.00
2022-09-28,0,0,0
2022-09-29,0,0,0
2022-09-30,0,2.25,2.00
2022-10-01,7.05,2.55,7.00
2022-10-02,2.25,0,2.00
2022-10-03,4.50,2.25,5.00
2022-10-04,2.25,2.25,3.00
2022-10-05,4.50,6.75,10.00
2022-10-06,4.25,2.25,5.00
2022-10-07,0,2.25,2.00
2022-10-08,4.50,0,4.50
2022-10-09,4.80,12.15,8.00
2022-10-10,2.25,2.25,4.00
2022-10-11,0,2.25,2.00
2022-10-12,2.25,4.50,4.50
2022-10-13,2.25,2.25,2.50
2022-10-14,2.25,2.25,4.00
2022-10-15,4.50,0,4.50
2022-10-16,2.55,4.80,6.00
2022-10-17,4.50,0,4.00
2022-10-18,0,0,0
2022-10-19,2.25,4.50,5.00
2022-10-20,0,4.50,2.50
2022-10-21,7.05,9.30,12.50
2022-10-22,4.50,2.25,6.00
2022-10-23,2.25,2.25,5.50
2022-10-24,2.25,2.25,4.00
2022-10-25,4.80,0,7.00
2022-10-26,6.75,4.50,9.50
2022-10-27,0,0,0
2022-10-28,2.55,0,2.00
2022-10-29,2.25,2.25,4.50
2022-10-30,2.55,2.25,4.50
2022-10-31,0,0,0
