,3664,3662,3663,3661
2022-06-15,6.75,0,4.25,2.25
2022-06-16,7.00,0,6.00,4.50
2022-06-17,2.25,0,2.00,4.50
2022-06-18,0,0,0,0
2022-06-19,7.00,0,6.00,11.75
2022-06-20,4.50,0,4.00,2.25
2022-06-21,4.98,0,6.00,4.50
2022-06-22,6.75,0,4.50,4.50
2022-06-23,4.50,0,2.00,2.25
2022-06-24,0,0,0,0
2022-06-25,7.00,0,8.00,7.00
2022-06-26,6.75,0,6.00,2.25
2022-06-27,0,0,0,0
2022-06-28,4.50,0,4.00,4.75
2022-06-29,4.50,0,4.00,6.75
2022-06-30,2.50,0,2.00,0
2022-07-01,6.75,0,6.00,6.75
2022-07-02,4.50,0,4.00,2.25
2022-07-03,9.00,0,4.00,2.25
2022-07-04,7.50,0,6.00,0
2022-07-05,11.75,0,6.00,0
2022-07-06,4.50,0,2.25,2.50
2022-07-07,2.25,0,2.00,2.00
2022-07-08,0,0,0,0
2022-07-09,6.75,0,2.00,2.00
2022-07-10,9.00,0,4.00,0
2022-07-11,2.25,0,4.00,0
2022-07-12,2.25,0,2.00,0
2022-07-13,4.50,0,3.00,0
2022-07-14,2.50,0,2.00,0
2022-07-15,6.75,0,6.00,2.00
2022-07-16,6.75,0,5.99,0
2022-07-17,11.25,0,4.00,4.00
2022-07-18,6.75,0,4.00,2.00
2022-07-19,9.00,0,6.25,2.00
2022-07-20,2.25,0,2.00,2.00
2022-07-21,0,0,0,0
2022-07-22,2.25,0,6.00,0
2022-07-23,11.25,0,8.00,4.00
2022-07-24,9.00,0,8.00,2.00
2022-07-25,0,0,0,0
2022-07-26,5.25,0,4.50,2.25
2022-07-27,12.50,0,5.25,0
2022-07-28,7.50,0,4.50,6.75
2022-07-29,0,0,0,0
2022-07-30,2.50,0,2.25,2.25
2022-07-31,5.00,0,4.50,2.25
2022-08-01,10.00,0,6.75,4.50
2022-08-02,7.50,0,6.75,0
2022-08-03,2.50,0,2.75,2.25
2022-08-04,5.00,0,4.50,2.25
2022-08-05,8.00,0,6.75,4.50
2022-08-06,7.75,0,4.50,4.50
2022-08-07,12.50,0,6.75,4.50
2022-08-08,10.00,0,4.50,2.75
2022-08-09,12.50,0,7.75,2.25
2022-08-10,17.50,0,9.00,4.50
2022-08-11,2.50,0,2.25,2.50
2022-08-12,2.50,0,2.25,2.25
2022-08-13,5.00,0,2.25,0
2022-08-14,10.00,0,9.00,2.25
2022-08-15,7.75,0,4.50,6.75
2022-08-16,2.50,0,2.25,0
2022-08-17,5.00,0,5.25,2.25
2022-08-18,2.50,0,2.25,0
2022-08-19,2.75,0,2.25,0
2022-08-20,5.00,0,4.50,0
2022-08-21,5.25,0,4.50,0
2022-08-22,7.50,0,4.50,0
2022-08-23,5.25,0,2.25,4.50
2022-08-24,5.00,0,7.25,6.75
2022-08-25,20.25,0,9.00,4.50
2022-08-26,5.00,0,4.50,4.50
2022-08-27,2.50,0,2.25,0
2022-08-28,17.50,0,12.50,9.00
2022-08-29,5.00,0,4.50,0
2022-08-30,2.50,0,2.25,0
2022-08-31,2.50,0,2.25,2.25
2022-09-01,10.00,0,9.00,6.75
2022-09-02,16.00,0,16.25,0
2022-09-03,7.50,0,6.75,2.25
2022-09-04,2.50,0,2.25,0
2022-09-05,15.00,0,11.50,4.50
2022-09-06,12.50,0,5.00,2.25
2022-09-07,2.50,0,2.25,2.25
2022-09-08,7.50,0,5.00,4.50
2022-09-09,12.75,0,6.75,5.25
2022-09-10,5.00,0,4.50,0
2022-09-11,7.75,0,6.75,0
2022-09-12,10.25,0,6.75,6.75
2022-09-13,5.00,0,4.50,0
2022-09-14,5.00,0,2.25,2.25
2022-09-15,0,0,0,0
2022-09-16,2.50,0,2.25,0
2022-09-17,0,0,0,0
2022-09-18,7.75,2.75,6.75,2.25
2022-09-19,10.00,5.00,6.75,2.25
2022-09-20,10.00,0,9.25,0
2022-09-21,15.75,5.50,9.25,4.75
2022-09-22,0.47,0,2.25,0
2022-09-23,10.25,5.00,6.75,4.50
2022-09-24,2.50,0,2.25,0
2022-09-25,7.50,0,6.75,0
2022-09-26,5.00,0,4.50,0
2022-09-27,0,0,0,0
2022-09-28,7.50,2.50,4.50,2.25
2022-09-29,5.00,2.50,4.75,0
2022-09-30,15.00,7.50,11.25,6.75
2022-10-01,5.00,0,2.25,0
2022-10-02,7.50,2.50,8.25,0
2022-10-03,5.00,5.00,4.50,4.50
2022-10-04,0,2.75,0,4.50
2022-10-05,2.50,2.50,2.50,0
2022-10-06,2.50,0,2.25,0
2022-10-07,8.00,5.00,6.75,2.25
2022-10-08,0,2.50,0,2.25
2022-10-09,7.00,15.25,9.00,9.00
2022-10-10,15.00,5.25,13.50,4.50
2022-10-11,0,0,0,0
2022-10-12,2.50,2.50,2.50,0
2022-10-13,2.75,2.75,2.25,2.25
2022-10-14,13.25,8.00,9.25,6.75
2022-10-15,2.50,2.50,2.25,1.13
2022-10-16,7.50,2.50,4.50,2.25
2022-10-17,5.00,0,4.50,0
2022-10-18,2.50,2.50,2.25,0
2022-10-19,2.50,2.50,2.75,0
2022-10-20,3.99,2.50,2.25,2.25
2022-10-21,5.00,2.50,4.50,2.25
2022-10-22,0,2.75,0.25,2.50
2022-10-23,2.50,0,2.25,0
2022-10-24,10.00,8.50,10.00,4.50
2022-10-25,0,0,0,0
2022-10-26,0,0,0,0
2022-10-27,5.25,7.50,2.50,3.25
2022-10-28,12.75,2.50,11.25,2.25
2022-10-29,2.50,2.50,2.75,2.25
2022-10-30,12.75,5.00,9.00,4.50
2022-10-31,0,0,0,0
